pgpid,description
445,Fragment of a legal document in which the signature of Tovia b. Daniel appears.
446,"A writ of qiddush ('betrothal'), Tyre, ca. 1011-1037."
447,"Legal document: an agreement concerning a levirate marriage, second half of the 15th century."
449,Legal document for authorization for slaughtering fowl. Dated 1259 CE (1570 Seleucid).
454,Ketubba fragment (marriage contract). Location: Damascus. Dated: [.]101 Seleucid = [10]89/90 or [11]89/9 CE.
455,"Marriage contract from Tyre, dated Tuesday, 19 Av, fifth year the sabbatical cycle (ca. 1054). The town of 'Ibillin is mentioned, and the document notes the bride is a divorcee. (Friedman, Jewish Marriage, vol. 2, 280) EMS"
456,"One of two separate texts of a ketubba (marriage contract) written for the same Karaite - Rabbanite 'mixed marriage' and preserved on a single fragment, one text on either side, ca. 1011-1037."
457,"Marriage contract for the same couple as in Antonin 637r. Begins with a clause concerning the appointment of the bride's agent, concludes with the last line of the formulary of the contract, including the blessings. (Friedman, Jewish Marriage, vol. 2, 288, 295) EMS"
458,"Legal query addressed to Moses Maimonides with his autograph responsum, ca. 1170-1204."
459,Fragment of a query to Avraham Maimonides (1205-1237) regarding the relationship between a single man and a female slave.
472,"Deed of compensation, Fustat, in the hand of Avraham, son of the Gaon, 1026. See also the description under T-S 20.169."
484,"Segment of a ketubba (marriage contract), in the hand of Ḥalfon Ha-Levi b. Manasse."
489,"Legal document. Deed of dedication of a house in Damascus to the Great Synagogue, ca. 1090. A certain Meshullam, known as Ibn Shurayq al-Dimashqi, i.e. ""the Damascene,"" dedicates his house to the Great Synagogue of Damascus, to which it is adjacent. The document is a draft written in the hand of Avraham b. Natan, one of the prominent members of the courts in Fustat and Cairo; it is unsigned, and as the name of the donor's father was not yet known, a space was left so it could be inserted later. (Information from Gil, Documents, pp. 214-215 #33)"
491,"Testimony of a member in the Jewish community in Aden, Yemen, concerning the disagreement about the Jewish authority. Mentions a discussion that was held in the synagogue about the issue. (Information from Goitein, The Yemenites, pp. 67-68). VMR
Description from PGPID 6305:
India Book 4 (Hebrew description below; English to come)
Description from PGPID 7893:
India Book 4 (Hebrew description below; English to come) Legal document. Copy of a court record from Aden in the hand of Ḥalfon b. Nathaniel. (Information from CUDL)"
499,"Legal document. Will of a silk-weaver to his four sons. Fustat, December 1188."
504,"Marriage contract written by Eliyyahu Gaon, Ramla, probably 1064."
505,"Deposition in the Jewish Court of Tyre, ca. 1028. The rent of a compound in Aleppo has been dedicated by its owner, Hilla b. Joseph, to the Great Synagogue in that city; the sons of Hilla, Mevorakh and Mufarrij, now live in Tyre. They declare before the court that the allegations of a certain man from Aleppo, who claims that the house was sold to him by their father, are vain and unfounded. The brothers insist twice upon the fact that it is the rent that was dedicated. They also insist on the fact that the man cannot prove the purchase, since he holds no deeds of purchase. The intention of the brothers to sell that house is apparent enough, though the relevant passage in this matter has unfortunately been damaged. They seem to be insisting that the dedication of the rent was on condition that it lapses if the heirs decide to sell it. Had the house itself been dedicated, the heirs would not have had a word to say about deeds of purchase nor would the case have been discussed in court at all. As we have it, the story behing the document seems to be that the late Hilla actually received money from the purchaser, but died before the deed of sale had been concluded. The heirs now strive to prevent the man from collecting the rent of the house, in order not to create a legal precedent, and keep the right to sell it at a convenient opportunity. The community of Aleppo probably claimed that the house itself had been dedicated. As to the claimant, he seems to have taken some steps to gain possession of the house, perhaps with the aid of a Muslim court. We have the therefore three parties involved in the case, with conflicting interests. The deposition of the brothers, as recorded by the court in Tyre, is preceded by a lenghty verified introduction, in a very flowery style, which forms the first half of the letter. The first part of the introduction is a eulogy, alphabetically arranged, to the learned people of Aleppo and their leader, the head of the court, R. Yaʿaqov b. Joseph. The letter is written in the hand of Shemuel b. Moshe. (Information from Gil, Documents, pp. 127-128 #2)"
506,Karaite marriage contract from Fustat.
507,"Karaite ketubba (marriage contract), Ramla. Ca. 1030."
508,Responsum (query only) regarding a partnership between merchants.
512,"Legal document, mentions ziqnei ha-yishmaelim."
513,A query directed to Maimonides (d. 1204). Responsum.
516,Legal agreement on dowry rights.
520,"Court proceeding from the court of Yoshiyyahu Gaon, approximately 1010."
523,"Fragment of a deed of gift, given in Ramla, approximately 1030."
524,"Marriage contract written in Tiberias Colonia, 1035."
525,Legal document. Draft of a acknowledgement regarding a sale of a store in Tiberias. Mid-September 1034.
528,"Fragment of a ketubba (marriage contract) from Tiberias, May 1035."
534,"Legal document, Sunday 3 Adar II 4845 A.M. (1085), Alexandria. Yehuda b. Moshe b. Sighmar appoints Eli ha-Kohen b. Hayyim (=b. Yahya) as his agent to represent him in a litigation against a business partner, Avraham Ha-Kohen b. Faraj al-Rahbi. This is three years after Yehuda had asked Eli to help him to get the money that Avraham owed him and ten years after the original deal between the two. See also Bodl. MS heb. d 65/5 (ed. Cohen in Journal of the Economic and Social History of the Orient, 56 [2013], pp. 218-263, also in Gil, Kingdom, Vol. 4, #623).  "
535,"Engagement (shiddukhin) document for a second wife. Location: Fustat. Dating: ca. 1165/66 CE, as the reshut clause refers to the Nagid Netanel ha-Levi (1160–65 or 1160–69) and the document is written in the hand of the court scribe Shemuel b. Seʿadya ha-Levi (active 1165–1203). (Information from Friedman, Polygyny.)"
544,"Legal document in Hebrew demanding a punishment of excommunication and three days of house arrest for Sabyan b. Saadya who libelled his kinsman Yosef b. Perahya as being a descendant of slaves. Fustat, 1043."
560,Ketubba (marriage contract). Groom: Mevasser b. Yiṣḥaq. Bride: ʿAzīza bt. Ḥasan. Location: Tinnīs (Egypt). Written by Ṣemaḥ the cantor. Dating: Between 942/3 and 1033/4 verso.
561,"Marriage contract from Damascus, 956, which records a marriage gift of 225 dinars (of which only 25 were advanced) and a dowry evaluated at 395 dinars. (Friedman, Jewish Marriage, vol. 197-9) EMS"
563,Fragment of a court record. Location: Cairo. Dating: Second half of the 13th century.
565,"Records of book sales, in the hand of Shelomo b. Eliyyahu. Dated: Monday, 16 Tammuz 1540 Seleucid, which is 1229 CE. ""To increase their meager income teachers got involved in book selling. In this sales contract the teacher Shelomo b. Eliyyahu the judge (dayyan) sells books."""
576,"The engagement contract of Abu Mansur, Semah b. Yefet, to Sitt al-Khassa in Fustat, 1146. Sitt al-Khassa was the daughter of Abu Barakat, son of Yosef Lebdi, the India trader. The groom deposited the very large early marriage gift of 40 dinars with a third party and promised the delayed marriage gift of 100 dinars. The bride received five shares (out of twenty four) of the house that used to belong to her grandfather, and half of her father's house. Moreover, 'the rent from her real estate will be in her hands, not in his hands, and she may deal with it as she sees fit'. She also is promised the right to choose the domicile. Her very large dowry amounts to 500 dinars (actually it adds up to 496 dinars), and it is stated that this sum was not exaggerated. The document begins with Bodl. MS Heb d 66 48r then continues to Bodl. MS d 66 47r and then to the latter's verso. Previous description: Engagement of Sitt al-Khāṣa bt. Abū l-Barakāt al-Lebdī and Ṣemaḥ al-ʿAṭṭār. In the hand of Natan b. Shemuel ha-Ḥaver. 11 November 1146. Information from Goitein's note card. 
Description from PGPID 6462:
See join for description, PGPID 576."
577,"Formulary for a marriage contract, Qaraite/interdenominational. Dated: 1036 CE, at the time of Ṣemaḥ Nasi. One sheet is possibly missing in between, and with it the details about the tosefet and the nedunya. Information in part from Goitein's index card"
582,"Fragments of the minute book (Pinkas) of the Jewish community of Cairo (testimonies), 1436. [Goitein (on photostat) reads different date: 1236 and recognises handwriting of Yehuda (Ha-Melammed b. Aharon al-Ammani)]."
588,"Account and agreement between the Qodesh and a partner, ca. 1156. A certain al-Nadiv, otherwise known as the perfume maker, tenant of a compound partly owned by the qodesh known as al-Burj, carried out repairs (probably in that compound) for which the qodesh owes him 19.5 dinars. He had previously received 9.75 dinars from the qodesh and owes 3 dinars representing his rent for four months. Thus, the qodesh still owes him 6.75 dinars. His expenditure of an additional sum of 10.5 dinars is approved, for repairs to be made in his brewery. As the qodesh will pay half of this, its total debt will come to 12 dinars. Also, some minor improvements in the compound will be made jointly. The debt of 12 dinars will be returned to him by counting it as his rent for 16 months. For this purpose, a deed of lease will be written in a Muslim court also. This arrangement is made toward the end of January 1156, one month before the former lease expires on the 24th of February. The new lease will start on the 25th. Coptic numerals are used. (Information from Gil, Documents, pp. 287 #59)"
589,"Certificate of the Qodesh in Alexandria, ca. 1253. The leaders of the community of Alexandria grant Elazar b. Shelomo the right to receive bread from the qodesh as well as the sum needed for the capitation tax. The right is granted to him by reason of his poverty, old age, and membership in a family of scholars. (Information from Gil, Documents, pp. 477 #144)"
600,"Legal document, fragment. Dating: ca. 1020 CE. Muʾammala bt. Shemuel b. Menashshe b. Avraham al-Qazzaz releases her sister Mulūk and other relatives (probably her sister's family) from obligations concerning the estate of her aunt Ḥusn bt. Menashshe b. Ibrāhīm including properties in a place called Tur Ruba and in Tyre, in the 'Armon' (mansion?) of Ibn al-Qazzāz. (Information from Goitein's index card.)"
604,"Record of a deposition regarding donation of parts of a compound, ca. 1160. Sitt al-Riyad, al-Na'iha, who owns seven qirats of a compound, donates a third of her part to the Karaites and a little less than that (7.5 qirats) to the Rabbanites. This is recorded on the left part of a leaf detached from a notebook, apparently belonging to a 'adl, a ""righteous witness,"" or notary. Three witnesses, inclusive of the writer, are mentioned at the beginning, but their signatures are not preserved. (Information from Gil, Documents, pp. 294 #63.) See also Goitein, Med Soc II, Appendix A, #164."
605,"Legal document. Deposition on cession of rights in the ""Estate of the Jerusalemites,"" ca. 1160. The uncle of Abu Sa‘īd renounces his right in the ""Estate of the Jerusalemites"" in favour of his nephew. One additional witness was present. From same notebook as Bodl. MS heb. f 22/43b. (Information from Gil, Documents, pp. 295 #64.) See also Goitein, Med Soc II, Appendix A, #165."
615,"Copy of a copy of a ketubba from Ashkelon, 1100."
617,"Ketubba (marriage contract) by proxy form from the siddur of Shelomo b. Natan of Sijilmasa, 12th century. NB: The shelfmark has changed, and it will take some work to find the current one. "
627,"Fragment of a double query, presented to Avraham Maimonides about (1) a man who keeps a slavegirl—not for service—although he was married and a father of children. (2) a man who had a Christian slavegirl accept Judaism but lived with her out of wedlock. This seems to be another version of the same two questions contained in T-S 10K8.13. Information from Goitein's note card. "
635,"Legal document. Dating: probably ca.1185. This is the only known document that refers to the majlis of Maimonides. It is a draft of a statement (tiqrār) to be signed by Maimonides, the Judges and the Elders, to the effect that Avraham b. Yaḥyā ha-Levi, called al-Najīb, should get the payment of his capitation tax (jizya) to the amount of 1 2/3 dinars out of the revenue from the rents of a ""block"" (rabʿ) which was a pious foundation earmarked for poor people. Thus Avraham's capitation tax will be paid from the revenue of the qodesh, not as charity, but as compensation for fees which he once renounced for supervising repairs in the funduq. The text stresses the great benefit which would accrue from his continued presence at such repairs. This payment was to be in the place of a daily salary of 1/2 dirham to which al-Najīb was entitled for his supervision of the building of the Funduq ('hotel' or caravenserai), erected by Abū ʿImran Beḥir ha-Kohanim, certainly also a public building. The remuneration of 1/2 dirham normally was paid out of a daily emolument of 2 dirhams which the Wakīl or administrator of the building received. The statement is not signed, perhaps because Maimonides objected to such a vague agreement made in respect of the spending of money destined for the poor. (Information from Goitein's notes and from Gil, Documents, pp. 323 #77.) On verso there are 6 lines of verses in Arabic script.
Description from PGPID 6565:
Duplicate, see PGPID 635."
637,"Beginning of a ketubba, 870 CE. (Or 871 CE?) ""The oldest dated Genizah document. A draft of a ketubah, in which the writing is interrupted after the date in the seventh line, probably because the day in the month is mistaken: 17 Tishre 1183 Seleucid, which is  (שבת אשר בתשרי [...] אלפא ומאת ותמנ״ן מציון ותלת), Seleucid year (לשתרות)."" Information from Penn Catalog."
638,"Record and validation of a deposition regarding a compound partly dedicated to the synagogues, ca. 1047. A deposition given by four witnesses, prominent persons, confrims the fact that one sixth of a compound has been dedicated to the two synagogues of the Rabbanite Jews in Fustat, those of the Palestinians and of the Babylonians. The validation of the document and the authentication of the signatures take place before the two courts of the two congregations. The two heads of the courts, Sahlan b. Abraham and Efrayim b. Shemarya, sign the validation. The document bears two dates, 4 Iyyar and 2 Kislev; apparently the validation took place seven months after the deposition was first recorded. (Infromation from Gil, Documents, pp. 151 #7)"
639,"Draft of a deed of compensation in the hand of the court reporter Yefet b. David Shekhanya, around 1030. It was given to Efrayim b. Shemarya ha-Ḥaver, the head of the Jerusalem community in Fustat. (Information from Goitein, Palestinian Jewry, pp. 53-54). VMR"
641,"Marriage contract from Ramla, ca. 1062 or 1070. The groom is Avraham b. Sedeqa. (Friedman, Jewish Marriage, vol. 2, p. 358-61) EMS"
657,"Deed of restitution written in Jerusalem regarding alimony, in the hand of Eliyyahu Ha-Kohen Gaon, May or June 1071."
663,Responsum of Daniel b. Azarya about a dispute between men named Avraham and Yaʿaqov.
666,"Legal agreement between husband and first wife allowing him to remarry his divorcee. Probably in the hand of Ḥalfon b. Menashshe. The bottom of the document is not preserved, so we do not know if there are signatures or not. This document may be the notes of the scribe or the court rather than the legal agreement itself. On the other side there is a fragment from a letter by an untrained hand (see separate record)."
673,"Testimony (shahada) written in Jerusalem during the gaonate of Daniel b. Azarya (1051–62), October 1057. Draft."
674,"Marriage contract (ketubba) appearing to be between two relatively poor families, as evident by the small marriage gift of 14 dinars. Dowry provided by the groom. (Friedman, Jewish Marriage, vol.2, 249-54) EMS"
723,"Fragment of draft of a court document relating to the affairs of Nahray b. Nissim, ca. 1045-1096."
730,"A legal query. In Judaeo-Arabic. (Goitein, Palestinian Jewry, 309-311, suggested  that it might be addressed to R. Isaac the Spaniard). Concerning an adopted girl who fled her marriage to a foster brother and was driven out of her house by her foster siblings. A woman, mother of 3 girls and 2 boys, took a captive girl into her house, regarding her bringing up as a 'thawāb' (mitzva). After 4-5 years, the girl matured and one of the boys of the woman wished to marry her. After 4 (months?) she returned to the house of her foster mother and declared she would not remain with him. Dating: Goitein dates this document to the Crusader period, but see Goldman, ""Arabic-Speaking Jews in Crusader Syria"" (diss.), p. 37, ""Many undated Geniza documents have been ascribed to the period of the Crusades simply because they relate to warfare, ransoming, refugees, and/or massacres."" (some data added by AA)"
734,"Deed, drawn up in a Jerusalem court in the hand of Shelomo b. Yehuda, October 1036."
745,"Guardianship document from the court of Daniel b. Azarya, Jerusalem. An unknown person b. Ezra appoints Ishaq b. Abraham to be the guardian and get for what his brother left him in his will. (Gil, Kingdom, vol. 2, #216) VMR The second document, ENA NS 44, folio 31 forms the second portion of lines 7 - 18. For exact location of the tear please see the original text."
750,"Writ of debt drawn up in the ''high court"" between two brothers, both kohanim, Hiba b. Ghālib and Yisraʾel b. Ghālib. Location: Jerusalem. Dated: Friday, 24 Ḥeshvan 4765 AM, which is 10 November 1004 CE. (""The fifth year of the shemiṭa"" is specified.) Hiba owes Yisraʾel the considerable sum of 236 dinars. (Or has he already paid?) Signed by Shelomo b. Mevorakh; Shelomo b. Yiṣḥaq; Shemuel b. Naḥuma; and Shemuel ha-Shlishi (""the Third"") b. Hoshaʿna. (third), son of Hoshana. (Information in part from Gil.)"
754,"Ketubba (marriage contract). Groom: Yehuda b. ʿAmram. Bride: Sutayt bt. Shemuel Gaʾon, virgin. Location: Jerusalem. Dating: Late 10th century. Doodles in the margins."
757,"Court record from Fustat, 1097 written by Hillel b. Eli, under the authority of Mevorakh b. Saadia. Mentions Yekutiel b. Moshe and Avraham b. Yefet."
759,"Legal document confirmation by Eliyyahu Ha-Kohen Gaon b. Shelomo. 1070. Signed by Zedaqa b. Yosef, Mevasser b. Yosef, [...] b. Avraham Saadia b. Yiṣḥaq b. Yeshua"
760,"Page from the record-book of the law court of the Yeshiva, August 1023"
761,"Legal document from the high court of the nasi (David b. Daniel) recording testimony of Yefet b. Levi (?) b. Manasse, acting as power of attorney for his wife, Banat daughter of Abu al-Rida Yefet, claiming her father's share of what remains from his partnership with Musafir b. Shemuel, and recording Musafir's testimony that he could produce a legal document testifying that Abu al-Rida had spoken about this matter differently (i.e. as not being a partnership). The document was then in Tyre, whither Musafir had sent it for validation by the head of the yeshiva, Eliyyahu Ha-Kohen, and Musafir asks for a delay until he can have it sent. Verso: parts of one or two other letters, unrelated to the document on recto. Cf. T-S 20.162."
764,"Marriage contract (ketubba) written in Tyre, August 1079."
768,"Excerpt of a writ written in Ramla, 1076."
772,"Legal document: agreement with the Qodesh, ca. 1160. An agreement is concluded between a certain Subh and his wife, and the qodesh, represented by Abu Nasr Yesha'yahu ha-Levi, the general administrator of the estates of the qodesh. Since the couple own nine qararit (=3/8) of the house of which the qodesh owns the rest, the repairs needed in the house could not be made without their collaboration. As a pledge for their part of the cost, they temporarily waive the ownership rights over thir part as long as Yesha'yahu ha-Levi wants it. They also will accept the sum of the expenditures stated by him without question. (Information from Gil, Documents, pp. 292 #62) "
774,"Legal document. Record of a deposition in court, Mahdar, dated 442H (ca. 1050). Unsigned draft of a deposition, written by Yefet b. David b. Shekhanya. A fine of 10 dinars will be paid to the qodesh if an accusation is proven to be false. The fine itself is styled ""qodesh,"" and will be dedicated to the poor of Jerusalem. (Information from Gil, Documents, pp. 211 #31). Parties are Musāfir b. ʿAmram and Saʿīd b. ʿAllūn al-Qudsī."
780,"Ketubba of Sedaqa, a Qaraite. 1020s-1030s, Fustät [?]. Written by Avraham ben Musallam and signed by Avraham Hakohen b. Khalaf, Nethanel Halevi b. Revah, Hibba b. Yosef, Levi Halevi b. Yaaqov. Verso reused for writing exercises in Arabic."
785,"Legal document between spouses in which a settlement is reached according to which the husband assumes responsibility for the expenses of his wife's burial. Fustat, 979-80."
797,"Ketubba, Tyre, 1079, two pieces."
805,"Segment of a prenuptial agreement, in the hand of Ḥalfon Ha-Levi b. Manasse"
807,"Court record in the hand of R. Daniel b. Azarya ha-Nasi. Hayyim b. Harun announces his intention to marry a woman in Sahrajt, but people say that he already has a wife in Fustat. The man vows 10 dinars to the waqf if he is indeed married. People check and discover that he is in fact married; he then says he had vowed 5 dinars to the Jeruslaem waqf and 5 dinars to the local synagogue, but people object. The court believes him, but then he argues that he doesn't have the money, so the court allows him to pay only a quarter of a dinar per month."
809,"Legal deed in the hand of Eliyahu Ha-Kohen b. Shelomo Gaon, written in Damascus, 1031"
810,"Power of attorney written by Avraham, son of the Gaon in his own hand, 1039 (Gil)."
811,"Legal document: Obligation of the husband to provide for his divorcee in the hope of remarriage, Fustat, 1089"
815,"Legal deed, draft document containing a punishment for taking a second wife. Probably from Fustat, 1078/9 The verso contains another draft document. Very faded. Recto is written between the lines of an Arabic state document*"
824,"Court verdict, probably from Tyre, approximately 1015."
826,"Legal document draft leaving the date blank, written by Avraham b. Yiṣḥaq ha-Talmid. On verso part of a rough draft record of testimony by Avraham b. Yiṣḥaq Ha-Talmid. Contains the trustee stipulation for a woman, and the end of the stipulation regarding the wife's earnings. The husband is taking upon himslef not to marry another wife, nor to act violently against his wife. Written by Avraham b. Aharon ha-mumhe."
831,"Ketubba, once monumental, now just a piece of it. What remains are two perpendicular lines on the right hand side of the text containing blessings. Ed. Friedman, JMP, #64 who dates the ketubba to 1089-1099 and locates it in Tyre."
835,"Betrothal register from a court book, 1023."
837,"Contract of friendship between Elʿazar Maymūn and Yom Ṭov b. Sīd. In Hebrew and Aramaic. Dated: Sunday, 17 Tevet 5324 AM, which is January 1564 CE. As Mann describes, Yevr. II A 236/5 contains 10 (or more) leaves of various notes on Biblical and Rabbinic matters. On fol. 2, upside down relative to the main text, this document is to be found. The parties vow to treat each other as brothers, to help each other in all things, loan each other books, and pray together in the synagogue of Shemuel b. Sīd. (Mann: The synagogue of the Sevillians in Cairo was called by his name. Cp. about this scholar and Kabbalist, a refugee to Egypt after the Spanish expulsion, Sambari's Chronicle (in Neub., Med. Jew. Chron. I, pp. 145, 159, and 151–62)). If one is angry at the other, they will seek to appease each other within 24 hours. The document invokes three of the sages of Safed—Joseph Caro, Moses. b. Joseph di Trani, and Israel de Curiel—and Me'ir de Padova (=Meir b. Isaac Katzenellenbogen (d. 1565)) and Yiẓḥāq b. Sīd (perhaps the son of Shemuel b. Sīd and perhaps the father of the signatory Yom Ṭov b. Sīd; see Mann's notes for these identifications). ASE."
840,"Settlement between Shelomo b. Yehuda and Natan b. Avraham, ending the four-year schism of the geonut. Drawn up in Jerusalem. In the hand of Ẓadoq ha-Levi b. Levi. Dating: Late 1042 or early 1043 CE (Goitein and Rustow); or October 8, 1042 CE (Gil). By the terms of the agreement, Natan was deposed and demoted to Av Bet Din, and Shelomo b. Yehuda was reinstated in office. ""The terms lean in Shelomo's favor, except for one item: the creation of a board of five overseers to regulate the affairs of the yeshiva, including the Gaon (Shelomo) and the Av Bet Din (Natan)."" Information from Rustow, Heresy, p. 321, and from Gil."
847,"Legal document dated Iyyar (4)812 (1052), regarding a business dispute between ʿAllān bar Avraham bar ʿAllān and Yaʿaqov ben Salmān concerning flax, al-Lādhiqiyya, Fustat, and Nahray b. Nissim, Avraham b. Yiṣḥaq al-Talmīd."
851,"Agreement in which someone rents half of a house he sold with the option to buy it back within ten years. Location: Alexandria. Dated: November 3, 1103 CE."
852,"Compromise agreement made before Masliah Gaon, with confirmation of the court in the handwriting of the Gaon himself."
853,"Four court records from Fustat, August - September, 1132. Record A: Complaint, followed by retraction thereof, about a load of caraway, which was deposited with the representative of the merchants Record B: Conclusion of a partnership of perfume sellers and doctors. Record C: An agreement by which Natan b. Shemuel promises to take care of an old woman and to arrange her burial as opposed to the gift she gave him. NB: The shelfmark is listed as NLI 4° 577, no. 83 in Goitein's publications (Med Soc V, 539, n. 410, and the Kirjath Sepher article). "
854,"Ketubba, Tyre, 1023 (A large, almost complete fragment)."
859,"Karaite betrothal deed. Bride: Yamān bat David b. Isaiah, of Egypt. Groom: Shela b. ʿAmram al-Qirqisānī, of Tyre. Both the bride and groom are represented by agents. The groom appointed his agent (Shelomo b. ʿAdiya b. Menashshe al-Qazzāz, witnessed by Yefet […] Shelomo b. Abraham and Shemuʾel b. Moses he-Ḥaver) in Tyre in 1050 CE, and the text of the deed of attorney authorising the agent was incorporated into the deed of the betrothal, and ratified by the Karaite court in Fusṭāṭ (under the jurisdiction of the Karaite nasi David b. Ṣemaḥ). The bride’s agent is Shelomo b. Musāfīr (appointment witnessed by Aaron b. Samīḥ ha-Kohen and Ṣedaqa b. Saʿadya). The betrothal took place in 1051 CE, in Fusṭāṭ. Witnessed by Manṣūr b. Mevasser and Shemuʾel b. […]. (Information from CUDL)"
860,"Agreement between Sitt al-Baqāʾ and her husband Tahor ha-Levi the astrologer (al-Munajjim) b. Namir concerning money owed from the ketubba. Signed by Moshe b. Yehuda and Hillel b. Yosef, and dated Marḥeshvan 1460 of the Seleucid era (= 1148 CE). (Information from CUDL.)"
861,"Prototype of a legal document from Tyre, eleventh century, probably in the hand of Yosef Ha-Kohen b. Yaʿaqov."
866,"Legal document issued by Natan b. Avraham's court, in connection with trade between Egypt, North Africa and Sicily. Fustat, February-March 1040."
897,"Marriage contract from the year 1301 A.D., under the authority of Avraham Nagid. Bridegroom: Jephthah b. Avraham."
901,Draft of bills in the handwriting of Nahray b. Nissim.
