pgpid,names,location,date,date_standard,author
489,"['Meshullam B. Shurayq Al-dimashqi', 'Abraham B. Nathan']",Damascus,ca. 1090,N/A,Meshullam B. Shurayq Al-dimashqi
505,"['Hilla B. Joseph', 'Mevorakh', 'Mufarrij', 'Samuel B. Moses']",Tyre,ca. 1028,N/A,R. Jacob B. Joseph
534,"['Judah B. Moses B. Sughmar', 'Eli B. Hayyim', 'Abraham B. Faraj Al-rahbi']",Alexandria,Sunday 3 Adar II 4845 A.M. (1085),Gregorian,Judah B. Moses B. Sughmar
544,"['Sabyan B. Saadya', 'Joseph B. Perahya']",Fustat,1043,N/A,N/a
560,"['Mevasser B. Isaac', 'Aziza Bt. Hasan']","Tinnīs, Egypt",Between 942/3 and 1033/4,N/A,Semah The Cantor
565,['Solomon B. Elijah'],N/A,1229 CE,"Monday, 16 Tammuz 1540 Seleucid",Solomon B. Elijah
576,"['Sitt Al-khassa Bt. Abu Berakot Al-lebdi', 'Semah Al-attar', 'Abu Berakot', 'Joseph Lebdi', 'Abu Mansur']",Fustat,11 November 1146,1146,Nathan B. Samuel
582,['Judah'],Cairo,1436,N/A,Judah
588,"['Al-nadiv', 'Qodesh']",al-Burj,1156,CE,Al-nadiv
589,['Eleazar B. Solomon'],Alexandria,ca. 1253,CE,Leaders Of The Community Of Alexandria
600,"['Muluk', 'Husn Bt. Manasseh B. Abraham', 'B. Al-qazzaz']",Tyre,ca. 1020 CE,,Muammala Bt. Samuel B. Manasseh B. Abraham Al-qazzaz
604,['Sitt Al-riyad'],al-Na'iha,ca. 1160,N/A,Sitt Al-riyad
617,['Solomon B. Nathan'],Sijilmasa,12th century,N/A,Solomon B. Nathan
635,"['Moses Maimonides', 'Abraham B. Yahya', 'Abu Imran Behir Ha-kohanim']",N/A,ca.1185,N/A,Moses Maimonides
638,"['Sahlan B. Abraham', 'Ephraim B. Shemarya']",Fustat,1047,N/A,"Sahlan B. Abraham, Ephraim B. Shemarya"
639,"['Ephraim B. Shemarya', 'Yefet B. David Shekhanya']",Fustat,1030,N/A,Yefet B. David Shekhanya
666,['Halfon B. Manasseh'],N/A,N/A,N/A,Halfon B. Manasseh
674,['N/a'],N/A,N/A,N/A,N/a
730,['R. Isaac'],Syria,Crusader period,N/A,N/a
745,"['Daniel B. Azarya', 'Ezra', 'Isaac B. Abraham']",Jerusalem,N/A,N/A,Daniel B. Azarya
750,"['Hiba B. Ghalib', 'Israel B. Ghalib', 'Solomon B. Mevorakh', 'Solomon B. Isaac', 'Samuel B. Nahuma', 'Samuel Ha-shlishi B. Hoshana']",Jerusalem,"Friday, 24 Ḥeshvan 4765 AM (10 November 1004 CE)",CE,Hiba B. Ghalib; Israel B. Ghalib; Solomon B. Mevorakh; Solomon B. Yishaq; Samuel B. Nahuma; Samuel Ha-shlishi B. Hoshana
757,"['Hillel B. Eli', 'Mevorakh B. Saadya', 'Yekutiel B. Moses', 'Abraham B. Yefet']",Fustat,1097,CE,Hillel B. Eli
759,"['Sadaqa B. Joseph', 'Mevasser B. Joseph', 'Abraham Saadya B. Isaac B. Joshua']",N/A,1070,N/A,Elijah B. Solomon
761,"['Yefet B. Levi', 'Manasseh', 'Banat Daughter Of Abu Rida Yefet', 'Musafir B. Samuel', 'Elijah', 'Abu Rida', 'David B. Daniel']",Tyre,N/A,N/A,"David B. Daniel, Yefet B. Levi B. Manasse, Abu Rida Yefet, Musafir B. Shemuel, Elijah"
772,"['Subh', 'Yeshayahu']",N/A,ca. 1160,N/A,Yeshayahu And Subh
774,"['Musafir B. Amram', 'Said B. Allun Al-qudsi', 'Yefet B. David B. Shekhanya']",Jerusalem,442H (ca. 1050),N/A,Yefet B. David B. Shekhanya
780,"['Sadaqa', 'Abraham B. Khalluf', 'Netanel B. Revah', 'Hibba B. Joseph', 'Levi B. Jacob']",Fustât,1020s-1030s,N/A,Abraham B. Musallam
807,"['R. Daniel B. Azarya Ha-nasi', 'Hayyim B. Harun']",Fustat,N/A,N/A,R. Daniel B. Azarya Ha-nasi
826,"['Abraham B. Isaac Ha-talmid', 'Abraham B. Aaron']",N/A,N/A,N/A,Abraham B. Isaac Ha-talmid
837,"['Eleazar Maymun', 'Yom Tov B. Sid', 'Samuel B. Sid', 'Joseph Caro', 'Moses B. Joseph Di Trani', 'Israel De Curiel', 'Meir De Padova', 'Isaac B. Sid']",Cairo,"Sunday, 17 Tevet 5324 AM (January 1564 CE)",Gregorian,Eleazar Maymun And Yom Tov B. Sid
840,"['Solomon B. Judah', 'Nathan B. Abraham', 'Zadoq B. Levi']",Jerusalem,"Late 1042 or early 1043 CE; alternative date: October 8, 1042 CE",CE,"Solomon B. Yehuda, Nathan B. Avraham, Zadoq B. Levi"
847,"['Allan B. Abraham B. Allan', 'Jacob B. Salman', 'Nahray B. Nissim', 'Abraham B. Isaac Al-talmid']","Fustat, al-Lādhiqiyya",Iyyar 812 (1052),CE,"Allan B. Abraham B. Allan, Jacob B. Salman, Nahray B. Nissim, Abraham B. Isaac Al-talmid"
853,"['Nathan B. Samuel', 'Samuel']",Fustat,"August-September, 1132",CE,Nathan B. Samuel
859,"['Yaman Bt. David B. Isaiah', 'Shela B. Amram Al-qirqisani', 'Solomon B. Adiya B. Manasseh Al-qazzaz', 'Yefet', 'Solomon B. Abraham', 'Samuel B. Moses', 'Aaron B. Samih', 'Sadaqa B. Saadya', 'Mansur B. Mevasser', 'Samuel B. [...]']",Fusṭāṭ,1051 CE,CE,"David B. Isaiah, Amram Al-qirqisani, Solomon B. Adiya B. Menashshe, Yefet, Solomon B. Abraham, Samuel B. Moses, David B. Semah, Aaron B. Samih , Sadaqa B. Saadya, Mansur B. Mevasser, Samuel B. [...]"
860,"['Sitt Al-baqa', 'Tahor Al-munajjim B. Namir', 'Moses B. Judah', 'Hillel B. Joseph']",N/A,Marḥeshvan 1460 of the Seleucid era (= 1148 CE),Seleucid era,Tahor Al-munajjim B. Namir
